Year,TSA_abv_KFH,NOSA_abv_KFH,TSA_redd_blw_KFH
1977,945.9936955,773.9936955,
1978,1614.893477,693.8934765,
1979,521.3458394,371.3458394,
1980,1347.011183,1025.011183,
1981,2769.607144,2149.607144,
1982,1108.353803,869.3538026,
1983,873.8785011,531.8785011,
1984,2006.961894,942.9618936,
1985,1066.693245,631.6932453,
1986,2532.153539,919.1535385,
1987,1793.665492,981.6654919,
1988,2135,1079,
1989,769,500,
1990,756,356,
1991,1287.576562,958.5765621,
1992,2847,1974,
1993,1155,843,
1994,916.2707618,725.2707618,
1995,1314.985625,1029.985625,
1996,1606.034983,725.034983,
1997,505,456,
1998,425,425,
1999,490,490,
2000,829,829,
2001,938,938,
2002,1377,1377,116
2003,1719,1719,96
2004,2156,2156,244
2005,1784,1784,72
2006,1560,1560,164
2007,910,910,140
2008,668,668,82
2009,940,940,
2010,865,865,
2011,560,560,
2012,955,955,
2013,730,730,106
2014,853,853,
2015,1085,1085,
2016,1083,1083,
2017,617,617,
2018,535,535,
2019,138,138,64
2020,442,442,22
2021,269,269,
2022,730,730,
