"year","method","obs","mle","L95","U95"
1977,"TSA_redd_blw_KFH",NA,74.4818719820901,52.4320130657614,105.804620680854
1978,"TSA_redd_blw_KFH",NA,66.058092389781,46.0462808767534,94.7670797095765
1979,"TSA_redd_blw_KFH",NA,50.2071172586291,34.8949279106858,72.2384247324896
1980,"TSA_redd_blw_KFH",NA,96.7117674365234,67.0442540422517,139.507346219435
1981,"TSA_redd_blw_KFH",NA,155.519859440912,107.545628165016,224.894559576236
1982,"TSA_redd_blw_KFH",NA,91.9694380598076,63.4466985468106,133.314699279368
1983,"TSA_redd_blw_KFH",NA,64.6549549298805,44.4998940699878,93.9387224250538
1984,"TSA_redd_blw_KFH",NA,82.898639098432,56.9283622970793,120.716354503749
1985,"TSA_redd_blw_KFH",NA,71.1622802991504,48.7626330859153,103.851449704376
1986,"TSA_redd_blw_KFH",NA,88.0302591438264,60.194471716855,128.738176511969
1987,"TSA_redd_blw_KFH",NA,95.020498879883,64.8425494219538,139.243371642092
1988,"TSA_redd_blw_KFH",NA,92.4995037191209,62.9985642711799,135.815129872696
1989,"TSA_redd_blw_KFH",NA,55.7398673843381,37.8909520660568,81.9966943719745
1990,"TSA_redd_blw_KFH",NA,46.7502299339654,31.722039475096,68.8979660527336
1991,"TSA_redd_blw_KFH",NA,90.5115663243698,61.3081493679535,133.625687986808
1992,"TSA_redd_blw_KFH",NA,146.16317453743,98.8365304797417,216.151593820244
1993,"TSA_redd_blw_KFH",NA,92.9605740181963,62.7584159943505,137.697361937409
1994,"TSA_redd_blw_KFH",NA,79.6976748561982,53.7205425525119,118.236322190445
1995,"TSA_redd_blw_KFH",NA,91.0101911244503,61.2539271544545,135.221613915845
1996,"TSA_redd_blw_KFH",NA,70.517194602604,47.3931488126246,104.923915359194
1997,"TSA_redd_blw_KFH",NA,49.8180738841192,33.4358259100635,74.2269831228118
1998,"TSA_redd_blw_KFH",NA,45.8934373568851,30.7618229628626,68.4682307343448
1999,"TSA_redd_blw_KFH",NA,53.1397519719816,35.5770639931496,79.3722955943598
2000,"TSA_redd_blw_KFH",NA,78.4116615291168,52.4553443695467,117.21186349367
2001,"TSA_redd_blw_KFH",NA,96.7234774280095,64.8002840519323,144.373303645846
2002,"TSA_redd_blw_KFH",116,130.419362265274,89.6538742379518,189.720859229534
2003,"TSA_redd_blw_KFH",96,158.185604779391,108.878274577046,229.822576235948
2004,"TSA_redd_blw_KFH",244,196.409652060165,135.094210706814,285.554438051498
2005,"TSA_redd_blw_KFH",72,160.224468195269,110.091703796091,233.186328517591
2006,"TSA_redd_blw_KFH",164,146.391614089554,100.46508616539,213.31295770219
2007,"TSA_redd_blw_KFH",140,100.999625108762,69.20199096555,147.407959363319
2008,"TSA_redd_blw_KFH",82,77.6461498943046,52.9951473925581,113.763710264828
2009,"TSA_redd_blw_KFH",NA,89.0922227158813,59.0218404547639,134.482830208246
2010,"TSA_redd_blw_KFH",NA,83.3675000533826,54.9695752161935,126.436124671076
2011,"TSA_redd_blw_KFH",NA,66.678304285321,43.8825834852407,101.315736432455
2012,"TSA_redd_blw_KFH",NA,87.2119492048204,57.4448475335439,132.403938920072
2013,"TSA_redd_blw_KFH",106,81.7941698166013,55.2274800935849,121.140530124678
2014,"TSA_redd_blw_KFH",NA,88.9122236319116,58.3471326091858,135.488809092334
2015,"TSA_redd_blw_KFH",NA,103.606140675577,67.670078301853,158.625978498291
2016,"TSA_redd_blw_KFH",NA,98.45811040755,64.1615778794855,151.087299056665
2017,"TSA_redd_blw_KFH",NA,65.3315681248108,42.5150644747718,100.392974734392
2018,"TSA_redd_blw_KFH",NA,48.2801584206149,31.4699913241896,74.069727986482
2019,"TSA_redd_blw_KFH",64,24.1156616051536,16.1747796439136,35.9550576550276
2020,"TSA_redd_blw_KFH",22,35.8164288336312,23.9785467041309,53.4985122419271
2021,"TSA_redd_blw_KFH",NA,33.9854771287438,21.9909156489271,52.5222630156702
2022,"TSA_redd_blw_KFH",NA,61.6531720429798,38.5985304688389,98.4781953299998
